ID,Description,Name,EPCode,Unit
1,焚烧炉内温度,G90811,3211910200001925,℃
2,消石灰喷射量,G90825,3211910200001925,
3,脱硫塔内旋转雾化器电流,G90826,3211910200001925,A
4,还原剂流量,G90827,3211910200001925,
5,压差,G90828,3211910200001925,
6,活性炭喷射量,G90823,3211910200001925,
7,压差,G60101,320700400017551,pa
8,氮氧化物浓度,A21002,320700400017551,mg/m3
9,二氧化硫浓度,A21026,320700400017551,mg/m3
10,烟尘浓度,A34001,320700400017551,mg/m3
11,氯化氢浓度,A21024,320700400017551,mg/m3
12,一氧化碳浓度,A21003,320700400017551,mg/m3
13,浆液循环泵电流（石膏法）,G10413,321000000035,A
14,炉脱硫塔内浆液pH（石膏法）,G11111,321000000035,
15,炉氨水流量（SCR脱硝）,G30512,321000000035,m3/h
16,炉进出口压差,G60111,321000000035,pa
17,电压,G80111,321000000035,V
18,炉引风机电流-实时值,G90611,321000000035,A
19,出水CODcr,E20220,3210840200008300,mg/m3
20,出水氨氮,E20320,3210840200008300,mg/m3
21,出水总磷,E20420,3210840200008300,mg/m3
22,出水总氮,E20620,3210840200008300,mg/m3
23,污泥浓度,E52771,3210840200008300,mg/m3
24,缺氧区溶解氧,E52571,3210840200008300,
25,风机电流,E641A2,320900000157,A
26,生化池ORP,E66041,320900000157,
27,生化池回流污泥流量,E62841,320900000157,m3/h
28,东碳源加药泵,E635C6,320900000157,m3/h
29,生化池液位,E62441,320900000157,m
30,回流泵电流,E63646,320900000157,A
31,泵池液位,E52435,321100281250,m
32,混合回流泵电流,E53651,321100281250,A
33,空气流量,E56351,321100281250,m3/h
34,PAC计量泵,E535C1,321100281250,
35,加药泵电流,E536D5,321100281250,A
36,污泥泵电流,E536D2,321100281250,A
37,进水流量,E10110,320802000005,m3/h
38,进水泵房液位,E52431,320802000005,m
39,污泥总量,E52951,320802000005,m3
40,DO,E561A1,320802000005,
41,OPR,E560A1,320802000005,
42,MLSS,E562A1,320802000005,
43,进泥量,E52871,790876671,
44,加药量,E51771,790876671,
45,反冲洗水池液位,E52495,790876671,m
46,V型滤池反冲洗水总管压力,E52295,790876671,pa
47,溶药池液位,E524B1,790876671,m
48,溶液池液位,E524B2,790876671,m
49,出水PH,E20520,320900000159,
50,出水总氮,E20620,320900000159,mg/m3
51,出水COD,E20220,320900000159,mg/m3
52,出水氨氮,E20320,320900000159,mg/m3
53,出水总磷,E20420,320900000159,mg/m3
54,出水SS,E20820,320900000159,mg/m3
55,生化池污泥浓度,E50421,320407000102486,
56,生化池缺氧区溶解氧浓度,E50611,320407000102486,
57,生化池好氧区溶解氧浓度,E50612,320407000102486,
58,悬浮物（SS）出口浓度,E20820,320407000102486,mg/m3
59,总氮(TN)出口浓度,E20620,320407000102486,mg/m3
60,总磷(TP)出口浓度,E20420,320407000102486,mg/m3
61,生化池污泥浓度,E52781,320481000082,
62,生化池厌氧区溶解氧浓度,E52571,320481000082,
63,生化池缺氧区溶解氧浓度,E52572,320481000082,
64,生化池好氧区溶解氧浓度,E52573,320481000082,
65,悬浮物（SS）出口浓度,E20820,320481000082,mg/m3
66,总氮(TN)出口浓度,E20620,320481000082,mg/m3
67,悬浮物（SS）出口浓度,E20800,320482000003,mg/m3
68,五日生化需氧量(BOD5)出口浓度,E20900,320482000003,mg/m3
69,化学耗氧量(CODCr)出口浓度,E20200,320482000003,mg/m3
70,氨氮(NH3-N)出口浓度,E20300,320482000003,mg/m3
71,总氮(TN)出口浓度,E20600,320482000003,mg/m3
72,总磷(TP)出口浓度,E20400,320482000003,mg/m3
73,生化池污泥浓度,E562B0,321183968750,
74,生化池缺氧区溶解氧浓度,E561B1,321183968750,
75,生化池好氧区溶解氧浓度,E561B2,321183968750,
76,化学耗氧量(CODCr)出口浓度,E20220,321183968750,mg/m3
77,氨氮(NH3-N)出口浓度,E20320,321183968750,mg/m3
78,总氮(TN)出口浓度,E20620,321183968750,mg/m3
