Status,Type,City,Area,Name,EPCode,HJ212MN,ADCode,USCCode,NEICode,NEIName,Industry,Corporate,Address,Latitude,Longitude,Remark
0,10,无锡市,江阴市,光大水务（江阴）有限公司滨江污水处理厂,320281400009494,320281400009494888889101,320281,,国民经济行业编码,污水处理及其再生利用,污水处理,,,120.011788,31.931494,光大水务（江阴）有限公司滨江污水处理厂，坐落于江苏无锡市，设计处理能力为日处理污水3.00万立方米。主要建设内容包括厂区土建施工，工艺设备、工艺管道安装，电气、自控系统安装，照明，防雷接地，采暖，通风，厂区道路施工及绿化等。自2001年9月正式投入运行以来，污水处理设备运转良好，日平均处理污水量为3.03 万立方米。该项目采用先进的污水处理设备，厂区主体工艺采用A/O处理工艺
0,10,无锡市,宜兴市,宜兴市城市污水处理厂,320282765865,320282000418615888889101,320282,91320282673007063A,国民经济行业编码,酒、饮料及精制茶制造业,,林唯福,江苏省无锡市宜兴市长青路,119.870710,31.420849,宜兴建兴环境投资有限公司办公室地址位于太湖明珠，鱼米之乡无锡，于2015年09月28日在宜兴市市场监督管理局注册成立，宜兴市城市污水处理厂于2016年建设，采用较为先进的污水处理工艺MBR， 其设计规模为7.5万立方米/日， 先期日处理规模达到7.5万立方米/日，一期工程建设地点位于宜兴市开发区内， 建设规模为一期工程规模为7.5万吨/天。 
0,10,无锡市,梁溪区,无锡市城北污水处理厂,3202020200000117,320202020000011788889101,320213,91320200135907734U001,国民经济行业编码,污水处理及其再生利用,污水处理,叶亮,无锡市广瑞路,120.390300,31.656900,无锡市城北污水处理厂位于无锡市城区的东北部，厂区占地面积150.2亩，建设规模为日处理污水10万吨，其中已完成一期工程建设规模日处理污水5万吨。主要收集处理无锡市区城北的山北、周山浜片区共66平方公里内的污水，受益人口68万人。
0,10,无锡市,惠山区,无锡惠山水处理有限公司,320200800029,320200800029888888889101,320206,91320206747322892N,国民经济行业编码,污水处理及其再生利用,污水处理,吴振宇,无锡市惠山开发区胡家渡,120.284545,31.666490,无锡惠山水处理有限公司，坐落于江苏无锡市，厂区具体位于无锡市惠山开发区胡家渡，设计处理能力为日处理污水5.00万立方米。主要建设内容包括厂区土建施工，工艺设备、工艺管道安装，电气、自控系统安装，照明，防雷接地，采暖，通风，厂区道路施工及绿化等。无锡惠山水处理有限公司自2006年9月正式投入运行以来，污水处理设备运转良好，日平均处理污水量为3.96 万立方米。
0,30,无锡市,新吴区,无锡友联热电股份有限公司,320200000006,320200000006888888889201,320214,913200007178697827,国民经济行业编码,火力发电,电力,杨春,新区梅村,120.463985,31.528417,无锡友联热电股份有限公司作为热电联产企业，采用环保型循环流化床锅炉，具备石灰石/石膏脱硫和SCR尿素脱硝功能，采用布袋除尘设备，机组采用DCS系统控制，自动化程度高。总装机容量5.5万千瓦，配备2台100吨/时锅炉和2台15兆瓦汽轮发电机，2台150吨/时锅炉和1台25兆瓦汽轮发电，年供汽能力200万吨。
1,20,无锡市,锡山区,无锡锡东环保能源有限公司,3202050200008130,320205020000813088889301,320205106000,91320205684910709J,国民经济行业编码,生物质能发电,电力,许启明,黄土塘,120.469550,31.707738,采用了国际上最先进的欧盟2010标准、最严格的烟气处理工艺，具体工艺为焚烧炉+半干反应塔+活性炭、消石灰+布袋除尘器+SCR+湿法脱酸，实现了“最高标准、最好设备、最优工艺”的目标要求。无锡锡东环保能源有限公司已成为生活垃圾焚烧发电行业的标杆企业，是目前国内最先进的生活垃圾焚烧发电项目之一，总体达国际同类项目领先水平。焚烧炉+半干反应塔+活性炭、消石灰+布袋除尘器+SCR+湿法脱酸
0,10,徐州市,泉山区,徐州国祯水务运营有限公司,320300100101,320300100101888888889101,320311,913203007573337128,国民经济行业编码,污水处理及其再生利用,污水处理,佟廷军,徐州市泉山区南郊姚庄村,117.212527,34.211679,
0,10,徐州市,云龙区,徐州建邦环境水水务有限公司（新城区）,320300102410,320300102410888888889101,320303,913203015617799824,国民经济行业编码,污水处理及其再生利用,污水处理,张顺成,徐州市新城区潘塘镇冯庄沿珠江路向西1000米,117.275990,34.171710,
1,10,徐州市,铜山区,铜山区新城污水处理厂,3203120200004977,320312020000497788889101,320312,91320312559269764M,国民经济行业编码,污水处理及其再生利用,污水处理,柳振发,铜山新区牛山路21号,117.182467,34.176993,铜山区新城污水处理厂于2011年建设，江苏铜山区新城污水处理厂采用较为先进的污水处理工艺， 其设计规模为2万立方米/日， 先期日处理规模达到2万立方米/日， 处理工艺：“A2/O活性污泥法+过滤消毒污水处理工艺”。设计内容是外排水由原来《城镇污水处理厂污染物排放标准》（GB18918—2002）一级B提高到一级A标准。
0,10,徐州市,铜山区,徐州建邦环境水水务有限公司（铜山龙亭）,3203120203503080,320312020350308088889501,320312,913203015617799824,国民经济行业编码,酒、饮料及精制茶制造业,,宗海荣,徐州市铜山区三堡镇,117.209141,34.116174,
