EPCode,Name,company,flow,alarm,abnormaldata,data,check,rule
320281400009494,光大水务（江阴）有限公司滨江污水处理厂,,Page_9f14624ec44e4e009928f98c985e80a4,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320200800010,江阴市恒通排水设施管理有限公司,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320282765865,宜兴市城市污水处理厂,,Page_7a586e07a05b4585aa0c211b137b272c,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3202020200000117,无锡市城北污水处理厂,,Page_a6d0542b92c543d991733b182f2fc1e2,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320200800029,无锡惠山水处理有限公司,,Page_576ef1ea16e74937bba5447b70bc8b6d,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320200000006,无锡友联热电股份有限公司,,Page_5118b777463e44abafff0575b8b3df61,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3202050200008130,无锡锡东环保能源有限公司,Page_2fd47b0a66d24dc0b4aa3cddab0d2cdf,Page_35e25917f7f0450b94c06cc006791529,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320300100101,徐州国祯水务运营有限公司,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320300102410,徐州建邦环境水水务有限公司（新城区）,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3203120200004977,铜山区新城污水处理厂,,Page_caa47366403841a2a88a231b9fc02b04,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3203120203503080,徐州建邦环境水水务有限公司（铜山龙亭）,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320300000089,铜山华润电力有限公司,,Page_a7cb9f1a60f248128871a61500873b52,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3203000200735389,徐州协鑫能源环保有限公司（徐州协鑫环保能源有限公司）,,Page_127a8c97a3074badaaea0c01d6ea2940,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320482000003,常州市金坛区第二污水处理有限公司,Page_f22b86b75b2c46c4ae597965a40d34fc,Page_72fddf6d880a40b08a4c364f147bba31,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320481000082,溧阳水务集团有限公司第二污水处理厂,Page_f2bdd39e0dbb458884d9ef70fc44b6c4,Page_0a025f6d85e149b8a0cd3034c1ae5220,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320400010025,常州市深水城北污水处理有限公司,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3204120202011252,江苏大禹水务股份有限公司（武南污水处理厂）,,Page_9dfc5e500e9b4f91bb0d2e0ae9e5da01,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320400001010,国电常州发电有限公司,Page_1a49debe32224e0483f5eb4c93eebcbc,Page_9a3b377b36704469b725a600be74e6cd,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3204110200006191,光大高新环保能源（常州）有限公司（常州光大环保能源有限公司）,Page_c0b548390bc84a7d847eb596508b1c25,Page_c0b548390bc84a7d847eb596508b1c25,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3204120200017595,光大环保能源（常州）有限公司（常州光大环保能源有限公司）,Page_b5b4a39ae64a43e980bb43fc183a0cab,Page_ca90f15eb54a4dc0aab4ee64ace86fc8,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320400010005,常州市深水江边污水处理厂,Page_47b8c1e7967648789aff0f38e868472b,Page_ffc37608cb9d436689a382d275cd8fd5,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320582004968,张家港胜科水务,,Page_3be5e42a9d69425f8186571cdd2c2915,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3205810200027952,常熟市江南水务有限公司（周行污水处理厂）,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3205070200004345,苏州市相城水务发展有限公司城西污水处理厂,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3205910200002406,苏州高新污水处理有限公司(第二污水厂),,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320585000377,国华太仓发电有限公司,,Page_a7cb9f1a60f248128871a61500873b52,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3205000201119683,光大环保能源（苏州）有限公司,,Page_b464d3d23d2c4dacb3ccfcbdd3b775a1,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320623000096,如东深水环境科技有限公司,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320682000087,如皋市富港水处理有限公司,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320600000033,南通市经济技术开发区通盛排水有限公司,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320684000125,中信环境水务（海门）有限公司,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320601000001,江苏南通发电有限公司,,Page_a7cb9f1a60f248128871a61500873b52,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3206210200004834,海安天楹环保能源有限公司,,Page_b464d3d23d2c4dacb3ccfcbdd3b775a1,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320803000058,淮安明通环保工程有限公司,,Page_aafb5e7708ca4bc9aed9ea06d3db4093,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3208030200001903,江苏国信生物质发电有限公司（淮安国信生物质发电有限公司）,Page_3b4048b92ef542de8180812ac869c48b,Page_3b4048b92ef542de8180812ac869c48b,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3208040204000050,光大城乡再生能源（淮安）有限公司（淮安光大城乡再生能源有限公司）,Page_cb399fde7ac2450187db9f3bfb1f9022,Page_ed51fe320d8e48f3821c56af959108d6,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320829000061,洪泽泽清水务有限公司,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3208290200001294,中电（洪泽）热电有限公司,,Page_a7cb9f1a60f248128871a61500873b52,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3208000200002426,江苏华电金湖能源有限公司,,Page_a7cb9f1a60f248128871a61500873b52,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320826000050,涟水县深港产学研环保工程科技有限公司,,Page_99d6c217d04c45e1b929f14e9f696016,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3208000201001453,淮安中圣清洁能源有限公司,,Page_b464d3d23d2c4dacb3ccfcbdd3b775a1,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3208300200017114,盱眙县第二城市污水处理厂,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
320830000044,盱眙富春紫光污水处理有限公司,,Page_42e85b545b6340f9ad1b56bf13e73e7e,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3208300200003052,光大生物能源（盱眙）有限公司,,Page_b464d3d23d2c4dacb3ccfcbdd3b775a1,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
3208300200002788,江苏圣元环保电力有限公司,,Page_a7cb9f1a60f248128871a61500873b52,Page_beeaebb22c44440cafa242e5a58bce25,Page_8455cb0ef7a64d39b4439767a5fe7481,Page_9aa462e7f92b475383dd35f74289d227,Page_4a5c9ab30f6941ddb31b6a16c2217063,Page_a3a1c1d54d4f456287d68b74b9b63501
